filing_amount,employee_count,filing_frequency_per_year,amount_change_pct,days_between_filings,same_tin_filing_count,is_round_amount,is_anomaly,anomaly_type
8476128.0,61,10,-26.949059736263898,25,1,0,0,normal
136533.0,59,15,-11.048206394050197,32,1,0,0,normal
4345160.0,22,10,-9.549063371271629,33,1,0,0,normal
0.0,4626,0,-99.0,462,8,0,1,tin_reuse
1260792.0,87,13,29.215907651807214,33,1,0,0,normal
1222262.0,47,13,17.405286444001355,28,1,0,0,normal
519575.0,81,13,39.65473754896533,30,1,0,0,normal
2785446.0,36,13,44.53328347397063,26,1,0,0,normal
51894.0,75,14,27.290305268090016,34,1,0,0,normal
500381.0,62,14,-7.411635792294735,31,1,0,0,normal
499788.0,6,14,-29.643286890380125,30,1,0,0,normal
440342.0,28,10,-8.900939457494268,33,1,0,0,normal
3107878.0,5,10,-28.12358608608557,31,1,0,0,normal
1274525.0,44,12,5.733671991358705,28,1,0,0,normal
3000599.0,56,12,33.1921736666089,26,1,0,0,normal
483519.0,18,12,-23.546528754176492,32,1,0,0,normal
314121.0,82,11,-25.784160380089833,30,1,0,0,normal
198031.0,23,13,46.5325595290214,35,1,0,0,normal
69241.0,99,10,32.62156721710803,29,1,0,0,normal
7261449.0,82,15,-28.95906654878481,33,1,0,0,normal
4259595.0,11,10,-16.698708074228374,30,1,0,0,normal
730749.0,90,11,-25.193834663744124,30,1,0,0,normal
3027763.0,62,11,-22.57953101401112,27,1,0,0,normal
2433794.0,67,10,-29.936722180445933,33,1,0,0,normal
6689498.0,85,13,49.93921602700253,31,1,0,0,normal
4890462.0,17,10,-3.2939367578976615,31,1,0,0,normal
3531955.0,58,10,-24.184678785505902,32,1,0,0,normal
5507587.0,69,13,12.078365471827055,31,1,0,0,normal
9691423.0,40,10,-6.7340156598929894,28,1,0,0,normal
1877264.0,40,13,13.940478306574633,30,1,0,0,normal
1267018.0,24,12,-16.208441664273483,32,1,0,0,normal
965527.0,75,14,21.206337627611404,32,1,0,0,normal
3344578.0,29,15,36.37020920070489,30,1,0,0,normal
130572.0,0,45,-99.0,417,7,0,1,sudden_zero_filing
137531.0,57,15,34.857437656328784,30,1,0,0,normal
2928882.0,80,14,45.67850016354271,35,1,0,0,normal
513344.0,29,10,22.040007297370877,32,1,0,0,normal
337268.0,92,14,3.485111043037101,26,1,0,0,normal
6686508.0,78,15,-2.434427328885711,35,1,0,0,normal
532568.0,100,14,31.884994680411396,26,1,0,0,normal
5165865.0,88,14,24.678865058600024,25,1,0,0,normal
1596120.0,98,14,-23.032848047665972,31,1,0,0,normal
2177286.0,25,10,47.630433994604815,34,1,0,0,normal
875752.0,11,15,11.75802482096283,29,1,0,0,normal
650718.0,73,11,2.592981010483868,30,1,0,0,normal
136384.0,67,13,5.434075960839465,35,1,0,0,normal
6770134.0,32,12,8.979342070205938,29,1,0,0,normal
613803.0,91,13,7.101182572627323,27,1,0,0,normal
0.0,3834,39,695.7244530622529,0,7,0,1,round_number_fraud
1329497.0,78,15,45.989627026553535,27,1,0,0,normal
827740.0,54,15,-16.496730708986078,34,1,0,0,normal
0.0,0,38,1858.6686202034268,0,3,0,1,ghost_employee
6041613.0,72,13,1.4679282801171496,31,1,0,0,normal
24090.0,14,14,5.385916218000453,29,1,0,0,normal
8744227.0,55,12,27.202109803023887,27,1,0,0,normal
3736128.0,52,14,33.86214872066526,26,1,0,0,normal
401979.0,62,12,-24.227978312149663,26,1,0,0,normal
2337416.0,19,15,14.269910035772341,30,1,0,0,normal
1221291.0,92,15,36.72081489985605,25,1,0,0,normal
885296.0,57,12,24.63602205069381,33,1,0,0,normal
1335997.0,54,12,12.774521982448391,33,1,0,0,normal
521966.0,86,11,-20.484537375688284,32,1,0,0,normal
1377986.0,99,11,-14.27938857665807,34,1,0,0,normal
398288.0,17,12,-1.0153704125894691,29,1,0,0,normal
3263919.0,70,14,-20.504246719538195,25,1,0,0,normal
4249828.0,32,12,-21.36929661798309,31,1,0,0,normal
880343.0,53,10,34.59290281656246,26,1,0,0,normal
0.0,2899,0,-55.15057319917349,640,6,0,1,round_number_fraud
1652204.0,91,10,23.936047613055734,27,1,0,0,normal
162652.0,57,13,25.784605208104978,30,1,0,0,normal
1403916.0,44,11,36.20666434395382,34,1,0,0,normal
186500000.0,4493,0,-79.1361255660656,0,6,1,1,round_number_fraud
3974103.0,34,10,18.401750694345992,31,1,0,0,normal
2773409.0,5,11,25.562803486016428,28,1,0,0,normal
590250.0,17,13,21.196438264242275,33,1,0,0,normal
287365.0,2,11,-10.959779292263761,31,1,0,0,normal
403051.0,53,10,49.00382281147151,33,1,0,0,normal
0.0,0,0,500.0762306205421,0,6,0,1,round_number_fraud
4018916.0,95,13,20.370304680021185,35,1,0,0,normal
345853.0,97,11,-29.19352623563804,26,1,0,0,normal
786470.0,0,30,1067.6925772215545,515,4,0,1,round_number_fraud
620014.0,987,0,-75.97727016665402,570,8,0,1,sudden_zero_filing
346089.0,72,13,-12.667197387139453,33,1,0,0,normal
552859.0,75,11,26.27909474493586,31,1,0,0,normal
1757545.0,82,14,8.986210015335857,35,1,0,0,normal
792547.0,78,10,-25.758685106411512,27,1,0,0,normal
2754580.0,31,12,-0.9405888025876479,33,1,0,0,normal
1225919.0,20,14,21.956716907659477,29,1,0,0,normal
495538.0,67,14,-22.204305596658163,31,1,0,0,normal
388740.0,4499,0,-99.0,488,7,0,1,round_number_fraud
2222743.0,8,15,38.66250504483358,34,1,0,0,normal
1129318.0,73,12,20.17738143124638,27,1,0,0,normal
424300.0,77,14,19.211103130715614,26,1,0,0,normal
3815064.0,70,10,34.76753119887891,33,1,0,0,normal
6369326.0,61,15,-17.061050228283953,29,1,0,0,normal
1461692.0,69,15,8.691682976752332,34,1,0,0,normal
3696114.0,74,11,3.6710573338562114,33,1,0,0,normal
1464484.0,51,12,28.801534497777254,25,1,0,0,normal
1369473.0,24,10,36.25864270675466,33,1,0,0,normal
55522.0,59,10,-23.573314207884614,32,1,0,0,normal
482259.0,98,15,23.150816556413318,30,1,0,0,normal
2324259.0,85,14,-19.692187708511444,30,1,0,0,normal
4710209.0,98,12,39.859473488517196,31,1,0,0,normal
2432684.0,71,12,3.9477937328524177,34,1,0,0,normal
12874.0,44,15,22.264944053963383,26,1,0,0,normal
484140.0,20,12,26.29749786092802,29,1,0,0,normal
7960440.0,37,13,24.27071752379578,25,1,0,0,normal
4852817.0,15,14,25.409531020990798,31,1,0,0,normal
1200127.0,18,12,25.55289880592531,31,1,0,0,normal
827937000.0,1805,41,1226.596578458456,0,4,1,1,ghost_employee
2223469.0,78,10,45.57777799247059,26,1,0,0,normal
2253689.0,5,15,25.26345183224869,31,1,0,0,normal
2058554.0,40,15,31.625713512209337,26,1,0,0,normal
3439286.0,100,11,-26.355192853238023,27,1,0,0,normal
41060.0,100,14,8.13862733580622,30,1,0,0,normal
493630.0,100,13,49.41246602253088,35,1,0,0,normal
5350399.0,62,13,-2.4622190251649734,32,1,0,0,normal
893936.0,18,12,10.713850506318458,33,1,0,0,normal
979581.0,70,12,-28.04239587502609,31,1,0,0,normal
632238.0,65,13,12.011461357953415,35,1,0,0,normal
4165564.0,66,13,-21.07465790261979,25,1,0,0,normal
334813.0,2671,0,-99.0,539,7,0,1,amount_spike
1431497.0,37,13,-29.51576037010873,26,1,0,0,normal
756097.0,5,12,23.308674541228605,31,1,0,0,normal
445878.0,6,13,18.268616741605342,30,1,0,0,normal
3841248.0,67,10,17.24304699534268,35,1,0,0,normal
1540649.0,57,12,22.396409283185278,30,1,0,0,normal
665367.0,23,14,11.959278547291277,26,1,0,0,normal
575126.0,83,11,-6.895123674537569,34,1,0,0,normal
1243353.0,60,15,-23.030278038394137,33,1,0,0,normal
439308.0,4274,30,-72.07971605386497,402,6,0,1,tin_reuse
219303.0,34,11,24.756141552702132,34,1,0,0,normal
1280998.0,78,11,47.54295088998407,29,1,0,0,normal
1000022.0,67,14,16.58423794045121,33,1,0,0,normal
1001750.0,95,10,26.04888255746178,33,1,0,0,normal
3281292.0,50,12,47.40652008484278,30,1,0,0,normal
124757.0,38,11,-23.496441370597356,34,1,0,0,normal
775648.0,93,10,42.415033396632026,32,1,0,0,normal
2674031.0,82,10,38.763270569614136,28,1,0,0,normal
298121.0,54,10,-0.35925011720944156,32,1,0,0,normal
311510.0,81,14,30.199990230503374,29,1,0,0,normal
1951342.0,69,13,3.8767293532047447,30,1,0,0,normal
4105391.0,13,15,-16.354400863790186,33,1,0,0,normal
0.0,0,35,-57.902686915708514,667,6,0,1,tin_reuse
460844.0,48,15,11.306558284637028,27,1,0,0,normal
779134.0,64,10,43.365060151591436,31,1,0,0,normal
3341600.0,60,12,31.71704662302809,30,1,0,0,normal
637236000.0,0,0,-99.0,0,6,1,1,ghost_employee
100982.0,49,10,32.49402262647272,32,1,0,0,normal
3558806.0,36,11,-13.389783334830419,35,1,0,0,normal
410461.0,96,13,47.63975737102078,28,1,0,0,normal
923433.0,36,10,26.82801211086592,35,1,0,0,normal
3276359.0,85,13,-26.981643550675763,27,1,0,0,normal
208841.0,93,15,40.06821637638927,29,1,0,0,normal
6283423.0,30,12,38.35703722982916,26,1,0,0,normal
2107478.0,86,13,43.83908361633833,30,1,0,0,normal
692538.0,0,0,-57.46505704334864,651,4,0,1,sudden_zero_filing
343917.0,22,12,-27.157481377373802,30,1,0,0,normal
5410274.0,31,10,31.10746705866235,26,1,0,0,normal
10055166.0,79,10,-29.658567150627366,30,1,0,0,normal
4887740.0,18,13,-0.8967519726502182,35,1,0,0,normal
633834.0,65,13,-27.139139323228882,30,1,0,0,normal
3176650.0,86,11,-12.485270896870695,30,1,0,0,normal
1037811.0,66,12,17.2052911250679,26,1,0,0,normal
344095.0,34,11,19.0019414209305,32,1,0,0,normal
3133273.0,75,14,-26.612552378299526,30,1,0,0,normal
1350155.0,27,11,42.59518058575722,25,1,0,0,normal
7278255.0,17,13,20.373072855659487,25,1,0,0,normal
691998.0,39,12,6.476101210402987,30,1,0,0,normal
826574000.0,3708,0,-99.0,0,3,1,1,duplicate_filing
693497.0,6,12,-10.781512845669347,25,1,0,0,normal
2353660.0,74,10,39.39228238891273,31,1,0,0,normal
1277238.0,13,15,37.81950965300149,31,1,0,0,normal
840671.0,11,15,33.757586957761276,26,1,0,0,normal
8049742.0,19,10,48.0730169036018,27,1,0,0,normal
240397.0,19,11,-17.38278534783559,31,1,0,0,normal
4968170.0,98,10,-8.43447923542329,27,1,0,0,normal
5325455.0,39,11,-18.348589979858527,34,1,0,0,normal
687232.0,3,11,-11.48474175253714,27,1,0,0,normal
124677.0,4,10,-14.745485705487251,32,1,0,0,normal
1860678.0,70,15,23.766306734750124,29,1,0,0,normal
819663.0,83,14,36.894004039947674,34,1,0,0,normal
782280.0,3143,27,-99.0,931,5,0,1,amount_spike
3227333.0,37,10,41.968982081188955,33,1,0,0,normal
4580384.0,77,13,6.669760692132449,30,1,0,0,normal
153239.0,36,10,14.146167748701089,25,1,0,0,normal
91109.0,7,13,-10.321292343066375,28,1,0,0,normal
285906.0,25,10,27.705677133567733,30,1,0,0,normal
3669100.0,21,13,-24.491193598578498,28,1,0,0,normal
1782008.0,38,12,34.93216788662534,35,1,0,0,normal
1282376.0,58,13,-14.361403260295766,27,1,0,0,normal
441951.0,65,11,-24.877769184492095,31,1,0,0,normal
358657.0,24,11,45.691461879061805,28,1,0,0,normal
2561084.0,11,11,10.00821586776415,30,1,0,0,normal
366673.0,44,14,49.55131174799678,31,1,0,0,normal
2299104.0,99,14,38.9437995585095,29,1,0,0,normal
3419676.0,6,15,24.99512916558696,29,1,0,0,normal
386929.0,44,11,-15.158005601010949,27,1,0,0,normal
933058.0,57,15,-27.897378490923607,35,1,0,0,normal
1685420.0,74,15,-11.86445003446611,35,1,0,0,normal
665736.0,21,15,47.23376012659533,28,1,0,0,normal
6188126.0,36,10,-1.8068302135796621,28,1,0,0,normal
1619574.0,94,11,-13.422169258785466,33,1,0,0,normal
2075270.0,75,12,33.02110291966103,26,1,0,0,normal
3296292.0,79,10,-2.7723650680129452,25,1,0,0,normal
2739703.0,44,14,8.577456689720435,34,1,0,0,normal
1431673.0,24,12,34.6897226030394,32,1,0,0,normal
411551.0,90,15,-14.712933889622235,25,1,0,0,normal
1649956.0,9,14,4.858532907369373,29,1,0,0,normal
717578.0,88,13,-7.189709862245081,35,1,0,0,normal
378297.0,80,10,-8.489824207000574,28,1,0,0,normal
6174306.0,49,12,-26.69281687975004,35,1,0,0,normal
1704351.0,86,11,6.645956542755592,35,1,0,0,normal
217039.0,3522,0,1693.9725813705966,776,7,0,1,amount_spike
2128843.0,10,11,3.825659549065648,31,1,0,0,normal
4543388.0,65,10,32.87613907299223,34,1,0,0,normal
5988098.0,95,12,15.473934651789861,29,1,0,0,normal
580983.0,55,12,-16.35797152437716,29,1,0,0,normal
795816.0,26,15,-17.529381499611063,31,1,0,0,normal
3808858.0,94,11,-18.78141046862759,31,1,0,0,normal
708922.0,29,12,39.478125011120696,35,1,0,0,normal
3689240.0,27,13,-24.304340275985005,27,1,0,0,normal
2494459.0,25,10,-26.55914866405925,26,1,0,0,normal
3716997.0,53,14,-10.203327744874073,25,1,0,0,normal
4484605.0,47,11,28.128521423379247,26,1,0,0,normal
422413.0,47,11,29.010207569545358,31,1,0,0,normal
1184751.0,57,14,7.083387411676853,31,1,0,0,normal
1977367.0,49,12,-7.455190918847503,33,1,0,0,normal
5522430.0,30,10,7.334417094388343,35,1,0,0,normal
1243124.0,11,15,-26.816548268951877,26,1,0,0,normal
241128.0,38,12,11.896910531146538,25,1,0,0,normal
1872815.0,39,11,-21.617194347101176,33,1,0,0,normal
2530789.0,84,10,-27.958514523824725,29,1,0,0,normal
3514609.0,85,15,-25.061614847587794,27,1,0,0,normal
2337669.0,94,12,43.40123508573507,27,1,0,0,normal
675998.0,77,11,-28.697897366916383,31,1,0,0,normal
4391662.0,11,11,-24.129237497451143,32,1,0,0,normal
0.0,3350,0,-58.16179941843589,866,2,0,1,ghost_employee
41079.0,56,13,47.333284503136625,30,1,0,0,normal
631966.0,34,14,-11.764464768431708,26,1,0,0,normal
52487.0,45,10,-8.733210134877616,27,1,0,0,normal
1295399.0,88,11,-24.796787892126233,28,1,0,0,normal
254015.0,43,10,-20.601456118063524,31,1,0,0,normal
2591298.0,13,12,-13.375511913654357,30,1,0,0,normal
620999.0,5,13,-21.596920104529282,31,1,0,0,normal
30944.0,33,15,39.86125260526387,27,1,0,0,normal
864695.0,16,15,-27.11733550025358,28,1,0,0,normal
164587.0,19,10,5.09692617954704,30,1,0,0,normal
1588172.0,40,12,35.094752147560314,27,1,0,0,normal
50407.0,67,13,27.536842698555745,25,1,0,0,normal
1129030.0,76,11,-4.591920515447036,28,1,0,0,normal
1056841.0,13,15,-28.805243418958373,34,1,0,0,normal
1909182.0,31,10,36.65205530610538,34,1,0,0,normal
5771909.0,91,12,31.80742326910591,25,1,0,0,normal
1899159.0,65,10,-16.820730665542236,34,1,0,0,normal
2467162.0,76,11,22.941254795077704,35,1,0,0,normal
1481221.0,40,15,-23.850076594691902,34,1,0,0,normal
603836.0,20,12,-8.824921467350269,28,1,0,0,normal
